Pop_Total,Net_Migration,Mortality_Rate,Fertility_Rate,Pop_Density,Female_Pop,Electricity,Mobile_Users,Land_Area,GDP,GDP_PCAP,Inflation,GINI,Military_Expense,Unemployment,Labor_Force,Labor_Female,Primary_Completion,Literacy_Rate,Political_Stability,Count_Athlete,Count_Medal,Count_Male,Count_Female,Urban_Pop_Ratio,Pop_15_64_Ratio,Pop_0_14_Ratio,Foreign_Invest_GDP_Ratio,Is_Summer
-0.205161793636625,-0.018250956711780817,5.228674856295262,2.2372719927626474,-0.18620778137249333,-0.9213032593701452,-2.4982673010062246,-0.746072442197826,-0.07852584355065274,-0.23447380438464968,-0.5591907634238779,0.08894589273653626,9.358826914353492e-16,0.15300783896745673,-0.0870846561394106,-0.23260011426523014,-2.7866737558485215,-2.4429654857257037,0.0,-2.6239367303039045,16,0,16,0,-0.2421918548851011,-0.27432447727483145,4.827758841666073e-06,0.03134189228409024,1
-0.19997251091201346,0.006590385205196043,5.228674856295262,2.2494442281018716,-0.18543889570404093,-0.7926716587509911,-2.4982673010062246,-0.746072442197826,-0.07852584355065274,-0.23424360663344376,-0.5580293983494815,0.08894589273653626,9.358826914353492e-16,0.15300783896745673,-0.0870846561394106,-0.23260011426523014,-2.7866737558485215,-2.4429654857257037,0.0,-2.6239367303039045,8,0,8,0,-0.24212587408098193,-0.2752032590741995,4.495679095755733e-06,0.03135943893184966,1
-0.19365611616083994,-0.014213475027532623,4.835617512624034,2.282087950147972,-0.18450300809525222,-0.690210471105208,-2.4982673010062246,-0.746072442197826,-0.07852584355065274,-0.23374029293731174,-0.5555953430660853,0.08894589273653626,9.358826914353492e-16,0.15300783896745673,-0.0870846561394106,-0.23260011426523014,-2.7866737558485215,-2.4429654857257037,0.0,-2.6239367303039045,5,0,5,0,-0.2420724231058568,-0.2762053140289868,4.216364426596658e-06,0.0314334815958556,1
-0.18630117536536975,-0.05521585092134889,4.44763187661308,2.331883458353888,-0.1834132411910263,-0.6091944492594005,-2.4982673010062246,-0.746072442197826,-0.07852584355065274,-0.23354521020506516,-0.5552263554881082,0.08894589273653626,9.358826914353492e-16,0.15300783896745673,-0.0870846561394106,-0.23260011426523014,-2.7866737558485215,-2.4429654857257037,0.0,-2.6239367303039045,8,0,8,0,-0.24202768833289104,-0.27713472859946503,3.9214562470024546e-06,0.0314959418041435,1
-0.17780718018764408,-6.727062699412757,3.6437662124596657,2.406576720662762,-0.18215470287144653,-0.4682870544725296,-2.4982673010062246,-0.746072442197826,-0.07852584355065274,-0.2317489352254313,-0.5476843364712728,0.08894589273653626,9.358826914353492e-16,0.15300783896745673,-0.0870846561394106,-0.23260011426523014,-2.7866737558485215,-2.4429654857257037,0.0,-2.6239367303039045,11,0,11,0,-0.24178977083234002,-0.278073858389878,3.6817661264289627e-06,0.03120233121349165,1
-0.19269563079006574,-0.5316442432825593,2.7917193255336503,2.375039565465682,-0.18436069489407628,-0.12044880171164152,-2.4982673010062246,-0.746072442197826,-0.07852584355065274,-0.23036268486145708,-0.551196888180622,0.08894589273653626,9.358826914353492e-16,0.15300783896745673,-0.0870846561394106,-0.23260011426523014,-2.7866737558485215,-0.005033351106173094,0.0,-2.6239367303039045,5,0,5,0,-0.24081780258096308,-0.27687389274838237,4.547747319545152e-06,0.031184837213164365,1
-0.1451022285698411,0.1183014499626272,2.0816802530953025,2.4735240150284947,-0.17730887543809154,-0.1449070941833747,-2.4982673010062246,-0.746072442197826,-0.07852584355065274,-0.23036268486145708,-0.551196888180622,0.08894589273653626,9.358826914353492e-16,0.15300783896745673,-0.0870846561394106,-0.23260011426523014,-2.7866737558485215,-0.005033351106173094,0.0,-2.6239367303039045,2,0,2,0,-0.24180502659188188,-0.2801148695124568,2.8486470785391365e-06,0.031187864635501765,1
-0.09946391102838302,-1.4134424610861964,1.5516868025966797,2.1194226233419786,-0.17054673697847747,-0.26072192506446484,-2.4982673010062246,-0.6927075673021564,-0.07852584355065274,-0.23036268486145708,-0.551196888180622,0.08894589273653626,9.358826914353492e-16,0.15300783896745673,-0.10700653922750884,-0.21229501157324118,-2.774558621257726,-0.005033351106173094,0.0,-2.5004289802751916,5,0,3,2,-0.24221682693036,-0.28146609232440567,2.1195120926904187e-06,0.03200487378542419,1
-0.0791212159756518,1.1946263128201315,1.2778145889418886,1.7359972101564234,-0.16753260043710927,-0.30738063097232576,-1.920625670651519,-0.11992499746730487,-0.07852584355065274,-0.22594791088383426,-0.5428565692226178,0.08894589273653626,9.358826914353492e-16,0.11123077203292674,-0.1125206318679648,-0.2027746821406002,-2.8245531531845387,-0.005033351106173094,0.0,-2.9022251300225212,4,1,3,1,-0.24231234189854764,-0.28182245233906283,1.8878452926738131e-06,0.031296415737377514,1
-0.05052695485786835,0.5554324277464782,1.0267650597583304,1.4339044603738647,-0.16329584581412904,-0.3371246908154133,-1.0907976929933754,0.30871994475588044,-0.07852584355065274,-0.2172097388579032,-0.5290410649194627,-0.047227803604961274,9.358826914353492e-16,-0.3951717013238044,-0.11305425373639602,-0.18430584506312728,-2.753215403002631,-0.005033351106173094,0.0,-2.6252080218176492,6,1,5,1,-0.24242959088040567,-0.2820838747064814,1.5568747026431017e-06,0.0312747759487544,1
